2005 2 1 425  1.372428.7712151.43 19.282.5110 13.1198 .30 1.1 1.1 F 20D 14010424.P05
2005 2 1 429 46.522240.4712050.01  9.212.02 9 15.2 78 .22  .3  .7 F 17B 14010429.P05
2005 2 1 431 44.172417.8812145.92 12.901.82 8 14.6201 .30 1.2  .8 F 15D 14010431.P05
2005 2 1 432 53.092416.2012145.62 11.922.07 8 17.6205 .35 1.5 1.2 F 16D 14010432.P05
2005 2 1 437 29.652416.2712147.67  9.632.5013 18.2198 .17  .6 1.1 F 21D 14010437.P05
2005 2 1 445 27.392415.7412145.40 11.961.98 8 18.4205 .42 1.9 1.8 F 14D 14010445.105
2005 2 1 445 46.692417.2712145.19  9.832.40 9 15.6199 .40 1.5 1.9 F 18D 14010445.P05
2005 2 1 449 40.822419.7812147.71 14.381.40 4 12.2315 .17 1.7 1.0 F  8D 14010449.P05
2005 2 1 452  7.762421.1112146.31 13.831.72 6  9.0268 .21 1.5  .8 F 11D 14010452.P05
2005 2 1 456 38.922434.5512143.58 73.574.9865 12.9101 .26  .7  .6 F118B 14010456.P05
2005 2 1 5 1  4.882415.2712146.34  8.972.21 8 19.5211 .17  .8  .5 F 16D 14010500.P05
2005 2 1 5 3 36.142417.7312147.56 12.401.86 7 15.6210 .25 1.5  .8 F 12D 14010503.P05
2005 2 1 5 3 44.922350.84121 3.26 23.832.1915 16.2 85 .15  .6  .6 F 24A 14010503.105
2005 2 1 5 4 39.842448.5412152.63 94.933.6645 13.9160 .28 1.0  .8 F 83C 14010504.P05
2005 2 1 5 6 48.002420.7512148.02 14.001.66 3 10.9314 .11 1.3  .7 F  6D 14010504.105
2005 2 1 5 8 33.012416.4612147.24 10.492.15 7 17.7212 .19  .8 1.5 F 14D 14010508.P05
2005 2 1 513  6.102239.6612049.00  2.891.87 7 15.9 83 .25  .4 1.0 F 13C 14010512.P05
2005 2 1 519 35.622418.8312145.26 13.511.77 7 12.7233 .28 1.4 1.2 F 13D 14010519.P05
2005 2 1 532 12.572420.6312146.70 13.591.90 7 10.1198 .24 1.6  .8 F 12D 14010532.P05
2005 2 1 534 56.612417.3012146.43 12.972.4810 15.8206 .33 1.2 1.0 F 18D 14010534.P05
2005 2 1 536 15.092417.1812145.29 11.463.4138 15.8187 .39  .8  .8 F 60D 14010536.P05
2005 2 1 538  8.172416.4712147.61 10.812.13 8 17.8214 .23 1.1 1.6 F 14D 14010536.105
2005 2 1 539  3.082254.1012122.09 26.712.6318 21.9223 .24 1.1  .9 F 30D 14010536.205
2005 2 1 543 50.722417.6812147.02  8.991.75 6 15.4241 .24 1.7  .8 F 10D 14010543.P05
2005 2 1 559 17.132416.2412147.12 11.081.85 6 18.0245 .23 1.5 1.5 F 12D 14010559.P05
2005 2 1 559 53.532420.1412147.49 13.671.51 5 11.4274 .25 1.9 1.2 F  9D 14010559.105
2005 2 1 6 4  9.882416.6912147.07  9.752.6512 17.2198 .17  .6  .9 F 23D 14010603.P05
2005 2 1 613 36.052417.7712146.41 12.182.07 7 15.0204 .35 1.7 1.1 F 13D 14010613.P05
2005 2 1 621 54.402416.5712115.96  7.431.55 5 11.8149 .26  .8 1.1 F  9D 14010621.P05
2005 2 1 627 15.812418.4512146.35  6.421.55 5 13.8276 .26  .6  .5 F  9C 14010627.P05
2005 2 1 630 45.952415.0112146.04  8.301.56 4 19.9305 .14 1.2  .7 F  8D 14010630.P05
2005 2 1 639 17.132416.5612146.07 11.422.2710 17.1195 .31 1.3 1.1 F 19D 14010638.P05
2005 2 1 640 57.982415.6612148.06  8.482.20 9 19.5218 .13  .6  .5 F 18D 14010640.P05
2005 2 1 641 16.462416.7612149.26  9.321.86 4 18.4221 .16 1.4 1.6 F  7D 14010640.305
2005 2 1 641 27.842417.2312148.90 11.031.93 7 17.3218 .17 1.2 1.2 F 11D 14010640.405
2005 2 1 641 53.772416.6012146.34 11.792.5813 17.1193 .34 1.2 1.0 F 23D 14010640.105
2005 2 1 642 30.762418.9012147.17 14.911.90 8 13.3205 .22 1.3  .8 F 14D 14010640.505
2005 2 1 643  6.152415.7812147.98  7.272.6511 19.3199 .17  .6 1.2 F 21D 14010640.205
2005 2 1 643 34.752419.2112147.75 12.411.48 4 13.2207 .14 1.5  .6 F  7D 14010640.605
2005 2 1 643 42.322418.4412145.91 14.571.97 8 13.6200 .39 1.7 1.4 F 16D 14010640.705
2005 2 1 644 43.432448.6112218.06  5.232.02 5 50.9294 .19 1.4 2.2 F 10D 14010640.805
2005 2 1 649 40.722416.4112147.67  9.692.3311 18.0197 .19  .7 1.6 F 19D 14010649.P05
2005 2 1 651 50.002427.6912157.37 14.911.66 7 19.6254 .17 1.1  .9 F 13D 14010651.P05
2005 2 1 656 10.102416.4512147.06 12.781.88 8 17.6211 .31 1.3 1.2 F 15D 14010655.P05
2005 2 1 658 55.382416.1512147.78  7.892.5613 18.5198 .17  .5  .5 F 25D 14010658.P05
2005 2 1 713 54.142415.3612148.25  9.692.07 6 20.1220 .19 1.1 1.7 F 11D 14010713.P05
2005 2 1 714 26.672415.8512147.99 13.032.12 6 19.1218 .23 1.2 1.6 F 12D 14010713.105
2005 2 1 718 45.002415.6212148.57 10.201.79 6 19.8221 .20 1.1 1.9 F 11D 14010718.P05
2005 2 1 722 58.732416.6112113.24  4.801.92 5  7.5131 .21 1.0 1.4 F  9B 14010722.P05
2005 2 1 748 10.602414.11121 1.94  7.901.98 6 12.5213 .18  .6  .6 F 10C 14010748.P05
2005 2 1 750 23.192423.6012151.17 11.101.42 4 12.0246 .19 1.8  .9 F  7D 14010750.P05
2005 2 1 754 26.242416.3512146.60 11.282.41 8 17.6203 .33 1.4 1.3 F 15D 14010754.P05
2005 2 1 755 16.062419.6312148.39 11.931.50 5 13.0210 .02  .2  .1 F  8D 14010754.105
2005 2 1 816 52.772415.9412145.47  7.411.45 4 18.1301 .19 1.8 2.4 F  8D 14010816.P05
2005 2 1 818 10.732415.8712145.57  9.152.5313 18.2200 .25  .8 1.4 F 23D 14010817.P05
2005 2 1 819 35.372415.8112148.21  9.401.72 6 19.4221 .26  .7  .9 F 10C 14010817.105
2005 2 1 823 38.382335.2712046.37  9.541.73 8  9.2108 .16  .6  .7 F 14B 14010823.P05
2005 2 1 824 16.462416.1712148.62  6.972.02 7 19.0222 .24  .4  .4 F 14C 14010823.105
2005 2 1 834 15.982416.2812145.94 11.701.83 7 17.5206 .12  .5  .8 F 14D 14010833.P05
2005 2 1 834 36.852417.0912145.69 10.231.48 3 16.0319 .26 1.0  .7 F  6C 14010833.105
2005 2 1 835 59.652210.7612124.60 26.152.8623 21.4130 .33  .3  .3 F 38C 14010835.105
2005 2 1 837 22.1822 8.9312118.15 11.063.0525 28.4124 .24  .6 1.3 F 42C 14010835.P05
2005 2 1 859  7.642416.5212115.92  9.702.17 7 11.7115 .16  .7 1.3 F 12B 14010858.P05
2005 2 1 917  7.942420.2012146.13 14.061.65 7 10.5196 .25 1.6 1.1 F 12D 14010916.P05
2005 2 1 933 56.662419.0712145.12 13.421.42 3 12.3315 .17 2.0 1.1 F  6D 14010930.105
2005 2 1 939 16.422423.5012155.81  3.061.43 4 19.9295 .32 1.3 1.2 F  8D 14010939.P05
2005 2 1 951 58.822416.1012145.79  6.353.0327 17.8189 .28  .6  .7 F 52D 14010951.P05
2005 2 1 958  4.342413.6212146.44 10.731.77 6 22.5249 .29 1.7 1.6 F 12D 14010957.P05
2005 2 11044 31.462333.8512045.59  9.041.9413  7.5 81 .33  .7  .9 F 24A 14011044.P05
2005 2 11044 32.792416.5412144.74 11.282.7715 16.9187 .41 1.4 1.5 F 26D 14011044.105
2005 2 11045 53.102419.0112144.25 12.391.83 6 12.3229 .22 1.4  .9 F 12D 14011044.205
2005 2 11046  3.462416.4012146.39  9.532.06 7 17.4208 .18  .8 1.5 F 14D 14011044.305
2005 2 11048 24.982415.9412148.60  9.201.92 7 19.3220 .15  .8 1.4 F 14D 14011048.P05
2005 2 11052 11.752345.0612154.53 11.522.5625 48.4219 .28  .8  .4 F 45D 14011052.P05
2005 2 111 1  6.052416.2012116.43 11.481.95 9 12.4 86 .37 1.0 1.2 F 17B 14011100.P05
