model,d,m,precision,tp,fp
BLOW_HNSN_NAAO,4,8,0.0,0,52
BLOW_HNSN_NAAO,4,9,0.0,0,6
BLOW_HNSN_NDHU,0,4,0.0,0,33
BLOW_HNSN_NDHU,0,5,0.0,0,42
BLOW_HNSN_NDHU,0,6,0.0,0,26
BLOW_HNSN_NDHU,0,7,0.0,0,29
BLOW_HNSN_NDHU,0,8,0.0,0,25
BLOW_HNSN_NDHU,0,9,0.0,0,39
BLOW_HNSN_NDHU,1,4,0.021739130434782608,1,45
BLOW_HNSN_NDHU,1,5,0.0,0,14
BLOW_HNSN_NDHU,1,6,0.0,0,21
BLOW_HNSN_NDHU,1,7,0.0,0,32
BLOW_HNSN_NDHU,1,8,0.0,0,20
BLOW_HNSN_NDHU,1,9,0.0,0,23
BLOW_HNSN_NDHU,2,4,0.04878048780487805,2,39
BLOW_HNSN_NDHU,2,5,0.0,0,6
BLOW_HNSN_NDHU,2,6,0.0,0,54
BLOW_HNSN_NDHU,2,7,0.0,0,18
BLOW_HNSN_NDHU,2,8,0.0,0,22
BLOW_HNSN_NDHU,2,9,0.0,0,12
BLOW_HNSN_NDHU,3,4,0.0,0,21
BLOW_HNSN_NDHU,3,5,0.0,0,61
BLOW_HNSN_NDHU,3,6,0.0,0,22
BLOW_HNSN_NDHU,3,7,0.0,0,10
BLOW_HNSN_NDHU,3,8,0.0,0,18
BLOW_HNSN_NDHU,3,9,0.0,0,31
BLOW_HNSN_NDHU,4,4,0.0,0,63
BLOW_HNSN_NDHU,4,5,0.0,0,27
BLOW_HNSN_NDHU,4,6,0.0,0,55
BLOW_HNSN_NDHU,4,7,0.0,0,17
BLOW_HNSN_NDHU,4,8,0.0,0,51
BLOW_HNSN_NDHU,4,9,0.0,0,5
BLOW_HNSN_SCHN,0,4,0.0,0,38
BLOW_HNSN_SCHN,0,5,0.0,0,17
BLOW_HNSN_SCHN,0,6,0.0,0,24
BLOW_HNSN_SCHN,0,7,0.0,0,45
BLOW_HNSN_SCHN,0,8,0.0,0,26
BLOW_HNSN_SCHN,0,9,0.0,0,41
BLOW_HNSN_SCHN,1,4,0.0,0,69
BLOW_HNSN_SCHN,1,5,0.0,0,14
BLOW_HNSN_SCHN,1,6,0.0,0,17
BLOW_HNSN_SCHN,1,7,0.0,0,20
BLOW_HNSN_SCHN,1,8,0.0,0,28
BLOW_HNSN_SCHN,1,9,0.0,0,31
BLOW_HNSN_SCHN,2,4,0.045454545454545456,2,42
BLOW_HNSN_SCHN,2,5,0.0,0,9
BLOW_HNSN_SCHN,2,6,0.0,0,67
BLOW_HNSN_SCHN,2,7,0.0,0,27
BLOW_HNSN_SCHN,2,8,0.0,0,17
BLOW_HNSN_SCHN,2,9,0.0,0,13
BLOW_HNSN_SCHN,3,4,0.0,0,3
BLOW_HNSN_SCHN,3,5,0.0,0,61
BLOW_HNSN_SCHN,3,6,0.0,0,28
BLOW_HNSN_SCHN,3,7,0.0,0,10
BLOW_HNSN_SCHN,3,8,0.0,0,21
BLOW_HNSN_SCHN,3,9,0.0,0,33
BLOW_HNSN_SCHN,4,4,0.0,0,58
BLOW_HNSN_SCHN,4,5,0.0,0,33
BLOW_HNSN_SCHN,4,6,0.0,0,44
BLOW_HNSN_SCHN,4,7,0.0,0,12
BLOW_HNSN_SCHN,4,8,0.0,0,57
BLOW_HNSN_SCHN,4,9,0.0,0,6
BLOW_HNSN_SICH,0,4,0.0,0,37
BLOW_HNSN_SICH,0,5,0.0,0,20
BLOW_HNSN_SICH,0,6,0.0,0,18
BLOW_HNSN_SICH,0,7,0.0,0,47
BLOW_HNSN_SICH,0,8,0.0,0,26
BLOW_HNSN_SICH,0,9,0.0,0,44
BLOW_HNSN_SICH,1,4,0.0136986301369863,1,72
BLOW_HNSN_SICH,1,5,0.0,0,12
BLOW_HNSN_SICH,1,6,0.0,0,12
BLOW_HNSN_SICH,1,7,0.0,0,19
BLOW_HNSN_SICH,1,8,0.0,0,32
BLOW_HNSN_SICH,1,9,0.0,0,22
BLOW_HNSN_SICH,2,4,0.04081632653061224,2,47
BLOW_HNSN_SICH,2,5,0.0,0,9
BLOW_HNSN_SICH,2,6,0.0,0,67
BLOW_HNSN_SICH,2,7,0.0,0,24
BLOW_HNSN_SICH,2,8,0.0,0,21
BLOW_HNSN_SICH,2,9,0.0,0,9
BLOW_HNSN_SICH,3,4,0.0,0,11
BLOW_HNSN_SICH,3,5,0.0,0,55
BLOW_HNSN_SICH,3,6,0.0,0,26
BLOW_HNSN_SICH,3,7,0.0,0,7
BLOW_HNSN_SICH,3,8,0.0,0,20
BLOW_HNSN_SICH,3,9,0.0,0,29
BLOW_HNSN_SICH,4,4,0.0,0,56
BLOW_HNSN_SICH,4,5,0.0,0,28
BLOW_HNSN_SICH,4,6,0.0,0,43
BLOW_HNSN_SICH,4,7,0.0,0,12
BLOW_HNSN_SICH,4,8,0.0,0,63
BLOW_HNSN_SICH,4,9,0.0,0,4
BLOW_HNSN_SOFN,0,4,0.0,0,33
BLOW_HNSN_SOFN,0,5,0.0,0,21
BLOW_HNSN_SOFN,0,6,0.0,0,19
BLOW_HNSN_SOFN,0,7,0.0,0,52
BLOW_HNSN_SOFN,0,8,0.0,0,31
BLOW_HNSN_SOFN,0,9,0.0,0,45
BLOW_HNSN_SOFN,1,4,0.016666666666666666,1,59
BLOW_HNSN_SOFN,1,5,0.0,0,14
BLOW_HNSN_SOFN,1,6,0.0,0,12
BLOW_HNSN_SOFN,1,7,0.0,0,27
BLOW_HNSN_SOFN,1,8,0.0,0,26
BLOW_HNSN_SOFN,1,9,0.0,0,28
BLOW_HNSN_SOFN,2,4,0.046511627906976744,2,41
BLOW_HNSN_SOFN,2,5,0.0,0,8
BLOW_HNSN_SOFN,2,6,0.0,0,60
BLOW_HNSN_SOFN,2,7,0.0,0,22
BLOW_HNSN_SOFN,2,8,0.0,0,24
